mal_id,url,title,title_english,title_japanese,type,source,episodes,status,duration,rating,score,rank,popularity,members,favorites,synopsis,season,year,studios,genres,images.jpg.image_url,trailer.url,aired.from,aired.to,broadcast.string
51818,https://myanimelist.net/anime/51818/Enen_no_Shouboutai__San_no_Shou,Enen no Shouboutai: San no Shou,Fire Force Season 3,炎炎ノ消防隊 参ノ章,TV,Manga,12,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,8.14,480,1423,177782,1133,Third season of Enen no Shouboutai.,spring,2025,David Production,"Action, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1527/146836.jpg,https://www.youtube.com/watch?v=nz-VCl7yUAw,2025-04-05T00:00:00+00:00,,Saturdays at 01:53 (JST)
56038,https://myanimelist.net/anime/56038/Lazarus,Lazarus,,ラザロ,TV,Original,13,Currently Airing,23 min per ep,PG-13 - Teens 13 or older,7.72,1244,2094,110612,655,"The year is 2052—an era of unprecedented peace and prosperity prevails across the globe. The reason for this: mankind has been freed from sickness and pain. Nobel Prize winning neuroscientist Dr. Skinner has developed a miracle cure-all drug with no apparent drawbacks called Hapuna. Hapuna soon becomes ubiquitous... and essential. However, soon after Hapuna is officially introduced, Dr. Skinner vanishes.

Three years later, the world has moved on. But Dr. Skinner has returned—this time, as a harbinger of doom. Skinner announces that Hapuna has a short half-life. Everyone who has taken it will die approximately three years later. Death is coming for this sinful world—and coming soon.

As a response to this threat, a special task force of five agents is gathered from across the world to save humanity from Skinner’s plan. This group is called ""Lazarus."" Can they find Skinner and develop a vaccine before time runs out?

(Source: Adult Swim, edited)",spring,2025,MAPPA,Sci-Fi,https://cdn.myanimelist.net/images/anime/1015/148185.jpg,https://www.youtube.com/watch?v=7d2ot3PQBMs,2025-04-06T00:00:00+00:00,,Sundays at 23:45 (JST)
59160,https://myanimelist.net/anime/59160/Wind_Breaker_Season_2,Wind Breaker Season 2,Wind Breaker Season 2,WIND BREAKER Season 2,TV,Web manga,12,Currently Airing,23 min per ep,PG-13 - Teens 13 or older,8.16,459,2209,101985,415,Second season of Wind Breaker.,spring,2025,CloverWorks,Action,https://cdn.myanimelist.net/images/anime/1526/148873.jpg,https://www.youtube.com/watch?v=qaR2_4tYhq8,2025-04-04T00:00:00+00:00,,Fridays at 00:26 (JST)
50738,https://myanimelist.net/anime/50738/Slime_Taoshite_300-nen_Shiranai_Uchi_ni_Level_Max_ni_Nattemashita__Sono_Ni,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita: Sono Ni",I've Been Killing Slimes for 300 Years and Maxed Out My Level Season 2,スライム倒して300年、知らないうちにレベルMAXになってました ～そのに～,TV,Light novel,12,Currently Airing,23 min per ep,PG-13 - Teens 13 or older,7.19,3424,2392,89551,474,"Second season of Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita.",spring,2025,Teddy,"Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1074/147339.jpg,https://www.youtube.com/watch?v=IzJFJt3bos8,2025-04-05T00:00:00+00:00,,Saturdays at 21:30 (JST)
60146,https://myanimelist.net/anime/60146/Saikyou_no_Ousama_Nidome_no_Jinsei_wa_Nani_wo_Suru,"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru?",The Beginning After the End,最強の王様、二度目の人生は何をする?,TV,Other,,Currently Airing,22 min,PG-13 - Teens 13 or older,6.62,6468,2618,77735,744,"The story follows the strongest king in history, Grey. Although he possesses unparalleled power, wealth, and fame, there is no one who stands by his side…and he trusts no one. One day, Grey suddenly meets his death and is reincarnated as a powerless infant named Arthur in a world of magic. Surrounded by a loving family and companions, Arthur starts to experience joys in this new life that he never knew in his previous one. However, during a journey, his family is attacked by bandits...

Thus begins his second life, filled with love and adventure!

(Source: Official site)",spring,2025,Studio A-CAT,Fantasy,https://cdn.myanimelist.net/images/anime/1712/148299.jpg,https://www.youtube.com/watch?v=xlRCC8SXT3Y,2025-04-02T00:00:00+00:00,,Wednesdays at 23:30 (JST)
59457,https://myanimelist.net/anime/59457/Haite_Kudasai_Takamine-san,"Haite Kudasai, Takamine-san","Please Put Them On, Takamine-san",履いてください、鷹峰さん,TV,Manga,12,Currently Airing,23 min per ep,R+ - Mild Nudity,6.42,7629,2921,64483,445,"Takane Takamine is great at everything she does, and her magnetic personality makes her the envy of everyone. She gets good grades, excels at sports, and even manages to become student council president during her first year of high school. But Takamine has a secret—she possesses an ability called ""Eternal Virgin Road,"" allowing her to redo past actions and achieve a different result.

While this might seem like a decent skill to have, Takamine must pay a price to activate it: she has to strip off a piece of her lingerie. After getting an imperfect score on a test, Takamine begins to remove her underwear during class and is spotted by her average and weak-willed classmate Koushi Shirota, who is bewildered by the sight. However, the very next instant, things reset and Takamine's test is now perfect.

When Shirota decides to confront Takamine about her previous test score, she reveals her ability to him and blackmails him into becoming her ""closet,"" making him carry around extra lingerie and put them on her. Her goal is to be able to use Eternal Virgin Road as much as possible in order to stay at the top of the school hierarchy. Left with little choice in the matter, Shirota accepts, starting an oddly intimate type of relationship with the most popular girl at school.

[Written by MAL Rewrite]",spring,2025,LIDENFILMS,"Comedy, Romance, Ecchi",https://cdn.myanimelist.net/images/anime/1521/148809.jpg,https://www.youtube.com/watch?v=XQABbjkXMB4,2025-04-02T00:00:00+00:00,,Wednesdays at 22:30 (JST)
60593,https://myanimelist.net/anime/60593/Vigilante__Boku_no_Hero_Academia_Illegals,Vigilante: Boku no Hero Academia Illegals,My Hero Academia: Vigilantes,ヴィジランテ -僕のヒーローアカデミア ILLEGALS-,TV,Manga,,Not yet aired,Unknown,,,,3009,60940,139,"Living in a superhuman society, it is hard to feel special. Even more so when the spotlight only shines on professional heroes, those legally authorized to use their special powers known as Quirks in public for the greater good.

Kouichi Haimawari grew up aspiring to be a hero, but with a mediocre Quirk like ""sliding"" that ties him to the ground, he soon came to the conclusion that he could only ever admire them from below. Despite this, Kouichi finds contentment in using his Quirk to carry out day-to-day good deeds, such as returning lost items and helping the elderly cross the street.

However, Kouichi's tame life takes a swing into the turbulent when he is rescued from a back alley brawl by Vigilante, or illegal hero, Knuckleduster. Seeing hero potential in Kouichi, Knuckleduster enlists his help in tracking down the source of a dangerous drug known as Trigger that boosts the user's Quirk at the expense of their rationality.

Set in a time before the events of the original story, Vigilante: Boku no Hero Academia Illegals follows Kouichi as he chooses to don the reputation of a villain and become a Vigilante, operating in the shadow of the law to prevent crimes from taking to the surface.

[Written by MAL Rewrite]",spring,2025,Bones Film,Action,https://cdn.myanimelist.net/images/anime/1538/148604.jpg,https://www.youtube.com/watch?v=84F2-8QExiY,2025-04-07T00:00:00+00:00,,Mondays at 23:00 (JST)
52709,https://myanimelist.net/anime/52709/Danjo_no_Yuujou_wa_Seiritsu_suru_Iya_Shinai,"Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)",Can a Boy-Girl Friendship Survive?,男女の友情は成立する？（いや、しないっ!!）,TV,Light novel,,Currently Airing,23 min,PG-13 - Teens 13 or older,7.45,2191,3087,58072,282,"A boy and a girl pledge lifelong friendship in a small town junior high school. The relationship between the two, who are destined to share a common dream, has passed two years without any particular development.

Himari Inuzuka, a bubbly girl who has yet to find her first love, and Yuu Natsume, a plant-loving boy who enjoys flowers, still spend their days peacefully as best friends in the gardening club in the second year of high school.

""If Yuu can't get married, I have to take responsibility.""
""I'm having trouble now because after Himari said that, your brother began calling me 'My brother-in-law!'""

However, when Yuu reunites with his first crush, the gears of their relationship suddenly go out of sync! Will Himari be able to escape her ""ideal friend"" now that she has found love?

(Source: MAL News)",spring,2025,J.C.Staff,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/1363/148601.jpg,https://www.youtube.com/watch?v=fZH5jDK5qV8,2025-04-04T00:00:00+00:00,,Fridays at 22:30 (JST)
59597,https://myanimelist.net/anime/59597/Witch_Watch,Witch Watch,Witch Watch,ウィッチウォッチ,TV,Manga,26,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,7.53,1879,3232,52923,120,"Nico Wakatsuki has finished her six years of witch training and is moving back to town by herself. As a new witch, she must choose a familiar to accompany her. However, unlike the other witches, she wishes to pick a non-animal familiar. There's no better companion than Morihito ""Moi"" Otogi—her childhood friend who happens to be an ogre. Morihito is vehemently opposed to being her servant, but he reluctantly accepts his fate after learning that a curse would revert him into a strange cow-tiger hybrid were he to disobey a witch's order.

Due to Morihito's father leaving for a business trip and Nico's mother remaining behind in the Witches' Holy Land, the two teens find themselves living together under the same roof. While Nico is ecstatic to be living with her crush, Morihito finds that her magical antics and overall clumsiness create more problems than solutions. With a prophesied disaster to befall Nico within the year, Morihito must do everything he can to protect her as her bodyguard while also upholding his duties as her familiar.

[Written by MAL Rewrite]",spring,2025,Bibury Animation Studios,"Comedy, Supernatural",https://cdn.myanimelist.net/images/anime/1988/148017.jpg,https://www.youtube.com/watch?v=mLOi_84AlOg,2025-04-06T00:00:00+00:00,,Sundays at 17:00 (JST)
59452,https://myanimelist.net/anime/59452/Katainaka_no_Ossan_Kensei_ni_Naru,"Katainaka no Ossan, Kensei ni Naru",From Old Country Bumpkin to Master Swordsman,片田舎のおっさん、剣聖になる,TV,Light novel,,Currently Airing,23 min,PG-13 - Teens 13 or older,7.4,2400,3278,51742,184,"Beryl Gardinant, a self-proclaimed ""humble old man,"" is a sword instructor at his dojo in a rural, backwater village. In his younger years, he dreamed of glory as a master swordsman, but those days are long behind him. Out of the blue, he receives a visit from a famous former pupil who brings him world-shattering news—he's been appointed as a special instructor for the knights of the Liberion Order! With his life now turned upside down, Beryl travels to the capital and reunites with some of his former students: elite knights, an ace wizard, and even an adventurer who's attained the highest guild rank possible. But why do they all want his tutelage?! As far as he's concerned, they clearly don't need him anymore. Can Beryl live up to his new position? And will he ever get a moment's peace away from his adoring students?!

(Source: J-Novel Club)",spring,2025,"Passione, Hayabusa Film","Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1069/148148.jpg,https://www.youtube.com/watch?v=1ukoLVyCfW8,2025-04-05T00:00:00+00:00,,Saturdays at 23:30 (JST)
