Title,Movie ID,Release Date,Rating,Genre,Synopsis,Language,Movie Link,TV Rating,Appropriateness
The Codes of War,1373723,2025-03-20,6.102,"Action, War","War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.",en,https://www.themoviedb.org/movie/1373723,N/A,Everyone
Revelations,1210938,2025-03-20,6.418,"Thriller, Crime, Mystery",A pastor who believes in divine revelation and a detective haunted by visions pursue a missing person case — exposing their own demons in the process.,ko,https://www.themoviedb.org/movie/1210938,N/A,Everyone
Little Siberia,1362608,2025-03-20,6,"Comedy, Thriller, Drama","A pastor's faith turns upside down when a meteorite lands in his small Finnish town, its impact stirring up chaos and criminal intentions.",fi,https://www.themoviedb.org/movie/1362608,N/A,Everyone
Locked,1083968,2025-03-20,5.8,"Horror, Thriller","When Eddie breaks into a luxury SUV, he steps into a deadly trap set by William, a self-proclaimed vigilante delivering his own brand of twisted justice. With no means of escape, Eddie must fight to survive in a ride where escape is an illusion, survival is a nightmare, and justice shifts into high gear.",en,https://www.themoviedb.org/movie/1083968,N/A,Everyone
Screamboat,1225572,2025-03-20,3.7,"Horror, Comedy",A late-night boat ride turns into a desperate fight for survival in New York City when a mischievous mouse becomes a monstrous reality.,en,https://www.themoviedb.org/movie/1225572,N/A,Everyone
The Shrouds,970947,2025-03-20,6.275,"Drama, Science Fiction","Inconsolable since the death of his wife, Karsh, a prominent businessman, invents a revolutionary and controversial technology that enables the living to monitor their dear departed in their shrouds. One night, multiple graves, including that of Karsh’s wife, are desecrated, and he sets out to track down the perpetrators.",en,https://www.themoviedb.org/movie/970947,N/A,Everyone
Ash,931349,2025-03-20,5.4,"Horror, Science Fiction, Thriller",A woman wakes up on a distant planet and finds the crew of her space station viciously killed. Her investigation into what happened sets in motion a terrifying chain of events.,en,https://www.themoviedb.org/movie/931349,N/A,Everyone
Home Sweet Home: Rebirth,1353117,2025-03-20,8.333,"Horror, Fantasy, Thriller, Mystery, Action","Jake (William Moseley), an American cop who whilst on holiday with his family in Thailand, is thrust into a supernatural world after interrupting a mass murderer's ritual that opens the literal Gates of Hell. When demons escape, possessing people on the streets, the city is thrown into chaos. To save the city, and his trapped family, Jake must ally himself with a mysterious Novice Monk and embark on a journey through the supernatural world of The Hindrance to shut the Gates of Hell.",en,https://www.themoviedb.org/movie/1353117,N/A,Everyone
Shiver Me Timbers,1375762,2025-03-20,4.2,"Horror, Comedy","In Northern California during the summer of 1986, Olive Oyl, along with her cinema- obsessed friends and brother Castor, embark on a once-in-a-lifetime camping trip to witness the dazzling meteor shower accompanying the arrival of Halley's comet. But what starts as a serene evening of stargazing quickly turns into a harrowing nightmare when a meteor from the comet transforms Popeye, into a terrifying and unstoppable killing machine.",en,https://www.themoviedb.org/movie/1375762,N/A,Everyone
The Red Envelope,1317920,2025-03-20,4.5,"Action, Comedy, Crime, Fantasy, Horror, Mystery","When Menn, a super-straight mugger-turned-police spy, accidentally picks up a mysterious red envelope, he is bound by a supernatural contract that forces him to wed a ghost. Fate plays an even crueler trick on him: his ""spouse"" is not only dead, but a cute and unapologetically progressive gay man named Titi.",th,https://www.themoviedb.org/movie/1317920,N/A,Everyone
Bob Trevino Likes It,1169789,2025-03-20,9,"Comedy, Drama",A people-pleasing young woman is involuntarily estranged from her narcissistic father and unexpectedly befriends a childless man with the same name as her father on the internet.,en,https://www.themoviedb.org/movie/1169789,N/A,Everyone
Making The Leopard,1450866,2025-03-20,0,Documentary,"Featuring behind-the-scenes footage and interviews with cast and crew, this special explores the series based on the Italian masterpiece, ""The Leopard.""",it,https://www.themoviedb.org/movie/1450866,N/A,Everyone
ROB1N,1443260,2025-03-20,0,"Horror, Thriller","When a robotics expert channels the grief of losing his 11 year-old son into building 'Robin', a fully functioning robotic doll, a series of horrific events makes it clear Robin will do whatever it takes to have his creator all to himself.",en,https://www.themoviedb.org/movie/1443260,N/A,Everyone
Polar,855440,2025-03-20,0,"Action, Adventure, Thriller","MG, a policewoman who has been expelled from the Corps due to the problems with alcohol and drugs that she has had since the loss of her son, receives a call from a man asking her to look for Macarena Gómez, a popular TV actress.",es,https://www.themoviedb.org/movie/855440,N/A,Mature
Pretty Ugly,1451466,2025-03-20,10,"Drama, Horror",When beauty and ugliness Overlap,xx,https://www.themoviedb.org/movie/1451466,N/A,Everyone
I'm Not a Robot,1178556,2025-03-20,6.9,"Comedy, Drama, Science Fiction, Thriller",A music producer spirals into an existential crisis after repeatedly failing a CAPTCHA test-leading her to question whether she might actually be a robot.,nl,https://www.themoviedb.org/movie/1178556,N/A,Everyone
Zhdun,1198288,2025-03-20,7,"Comedy, Family, Science Fiction","The alien Zhdun meets a boy who came to visit his grandparents for the holidays. The boy will have to help the alien return home, and Zhdun will help his family solve all the accumulated problems.",ru,https://www.themoviedb.org/movie/1198288,N/A,Everyone
True Beauty: Before,1363899,2025-03-20,7,"Romance, Comedy, Drama","Reina is bullied for her appearance and drops out. She encounters makeup and transforms into a ""goddess,"" which changes her life. However, a classmate discovers her secret bare face, which leads to unexpected challenges.",ja,https://www.themoviedb.org/movie/1363899,N/A,Everyone
Palma 2,1214069,2025-03-20,3.5,"Drama, Family","After leaving commercial aviation, Vyacheslav Lazarev and his family move to the countryside, where he continues to go flying, but now on a small propellered AN-2. And the life of the Lazarev family goes on as usual, until one day a small bear cub, to whom Kolya, the pilot’s son, gives the nickname Mansur, bursts in. When Mansur is kidnapped by local poachers, the faithful sheepdog Palma comes to his aid. The two animals need to find their way home through a forest full of wild animals, hunters and other dangers. And the Lazarevs, who set off in search of their four-legged friends, will have to remember what it means to be a real family.",ru,https://www.themoviedb.org/movie/1214069,N/A,Everyone
