Title,Show ID,Release Date,Rating,Genre,Synopsis,Language,Show Link,TV Rating,Appropriateness
Happy Face,243217,2025-03-20,8.294,"Drama, Crime","The story of Melissa Reed, daughter of Keith Jesperson, aka the Happy Face Killer. After decades of no contact, Keith forces his way back into his daughter’s life, and Melissa must find out if an innocent man is going to be put to death for a crime her father committed. In the process, she must face a reckoning of her own identity.",en,https://www.themoviedb.org/tv/243217,N/A,Everyone
The Residence,242054,2025-03-20,7.587,"Drama, Comedy, Mystery","A brilliant, eccentric detective must solve a murder in the White House residence — where the staff and guests at a state dinner are all suspects.",en,https://www.themoviedb.org/tv/242054,N/A,Everyone
Khakee: The Bengal Chapter,282394,2025-03-20,8.6,"Drama, Crime","When upright cop Arjun Maitra takes on Kolkata's feared don Bagha and his henchmen, he must battle a broken system and navigate bloody gang wars.",hi,https://www.themoviedb.org/tv/282394,N/A,Everyone
Top Form,278847,2025-03-20,9.5,Drama,"For the past five years Akin, a veteran actor was always hailed as the sexiest man of the year - reigning the polls as the man everyone wants to sleep with - and no one has ever come close to taking his top spot...until now, when it falls into the hands of Jin, a rookie actor. Akin has always been proud of his ability to keep his true, dark emotions under wraps, but when a drink gone wrong unearths his actual thoughts - toJin, of all people - is there something he can do to let the newcomer keep his slip-up under wraps?",th,https://www.themoviedb.org/tv/278847,N/A,Mature
Wolf King,231727,2025-03-20,7.722,"Animation, Action & Adventure, Kids, Sci-Fi & Fantasy",A young commoner comes of age and learns he's the last of a long line of Werewolves — and heir to the throne — in this epic fantasy adventure series.,en,https://www.themoviedb.org/tv/231727,N/A,Everyone
Bet Your Life,283483,2025-03-20,6.75,"Comedy, Drama, Sci-Fi & Fantasy",A down-and-out sports betting writer is roped into teaming up with the ghost of a bossy business tycoon demanding to crack his own murder case.,tr,https://www.themoviedb.org/tv/283483,N/A,Everyone
Please Come into My Heart,287256,2025-03-20,8.5,"Drama, Comedy","Song Yaozhi, a modern public relations workhorse who died suddenly from overwork, was reborn as the eldest daughter of the prime minister. Initially intending to annul her marriage and return home to live a carefree life as a ""lazy salted fish,"" she accidentally became bound to the tyrannical emperor by a life-and-death curse. Song Yaozhi captivated the tyrant with her wit, while he protected her with his domineering strength. As their interactions deepened, their mutual affection blossomed. Eventually, Song Yaozhi successfully annulled her marriage and broke the life-and-death curse together with the tyrant.",zh,https://www.themoviedb.org/tv/287256,N/A,Everyone
BE@RBRICK,225303,2025-03-20,6,"Kids, Animation, Comedy, Family","In a town where everyone's roles are predetermined, an aspiring singer-songwriter and her bandmates break free to pursue their dreams and inspire others to do the same.",en,https://www.themoviedb.org/tv/225303,N/A,Everyone
LOL: Last One Laughing UK,262819,2025-03-20,7,"Comedy, Reality","Famous for his dark humour, one liners and THAT laugh, Jimmy Carr challenges 10 of Britain’s funniest comics to spend the day together without so much as cracking a smile. The 10 comics use every ounce of their comedic talents to try and break their opponents without cracking up themselves.",en,https://www.themoviedb.org/tv/262819,N/A,Everyone
L’indétectable,276504,2025-03-20,8,Drama,"Stéphanie, a reserved young osteopath, infiltrates a mysterious start-up in order to prove that the video that destroyed her mother's political career is in reality an undetectable deepfake.",fr,https://www.themoviedb.org/tv/276504,N/A,Everyone
Dangerous Intimacy,287111,2025-03-20,0,Drama,"Anna, a plastic surgeon leading a perfect life, sees her world crumble when her husband's affair is exposed. Seeking revenge, she goes down a dark path with unforeseen consequences.",ru,https://www.themoviedb.org/tv/287111,N/A,Everyone
Jian Hun,287350,2025-03-20,10,"Action & Adventure, Drama","Modern teen Qin Fang, born into a renowned swordsmanship family but lacking skill, is transported to the Qin Dynasty. Forced to survive in a brutal world, he embarks on a journey of growth. Along the way, he meets Meng Yu, an orphan from a rival tribe who secretly protects him and ultimately becomes his sword spirit.",zh,https://www.themoviedb.org/tv/287350,N/A,Everyone
Sconfort Zone,286690,2025-03-20,6.231,Comedy,,it,https://www.themoviedb.org/tv/286690,N/A,Everyone
Home is Where the Heart Is,261417,2025-03-20,0,,Luke Macfarlane follows families who invite him inside a once-glorious house that has either been inherited or holds special meaning to them but is long overdue for some TLC.,en,https://www.themoviedb.org/tv/261417,N/A,Everyone
이혼보험: 직급 쟁탈전,287001,2025-03-20,0,,,ko,https://www.themoviedb.org/tv/287001,N/A,Everyone
Майките,287709,2025-03-20,0,Drama,,bg,https://www.themoviedb.org/tv/287709,N/A,Everyone
Ik Vertrek voor de Liefde,282227,2025-03-20,0,,,nl,https://www.themoviedb.org/tv/282227,N/A,Everyone
Anatomía del mal: El caso Rangel,286992,2025-03-20,0,"Documentary, Crime","The case of Héctor Rángel, who disappeared in 2009. Through various testimonies, primarily that of the Rangel sisters, the investigation explores violence, lawlessness, and ethics in mexican society.",es,https://www.themoviedb.org/tv/286992,N/A,Mature
맛집공식,287006,2025-03-20,0,,,ko,https://www.themoviedb.org/tv/287006,N/A,Everyone
Belgen in Oorlog: Korea,279267,2025-03-20,0,,,nl,https://www.themoviedb.org/tv/279267,N/A,Everyone
End of the Game,288278,2025-03-20,0,"Reality, Crime, Documentary","In a virtual world where friendships and love promise proximity and security, they will spot invisible threats, fraud, thoughtful tricks, psychological manipulations, cyberbullying and emotional blackmail.",sk,https://www.themoviedb.org/tv/288278,N/A,Everyone
Chi ha ucciso Michael Jackson?,286929,2025-03-20,0,,,it,https://www.themoviedb.org/tv/286929,N/A,Everyone
3 Soeurs et un Chalet,286978,2025-03-20,0,"Reality, Documentary",,fr,https://www.themoviedb.org/tv/286978,N/A,Everyone
Türsteher – Wächter der Nacht,285502,2025-03-20,0,Documentary,,de,https://www.themoviedb.org/tv/285502,N/A,Everyone
České vraždy,286986,2025-03-20,0,"Documentary, Crime",,cs,https://www.themoviedb.org/tv/286986,N/A,Everyone
Adventures of Dolly,286139,2025-03-20,0,"Animation, Comedy, Kids, Family","Adventures of Dolly follows Dolly and her friends - Ronny, Marty, and Crodo as they navigate fun, real-life adventures. From silly mishaps to life lessons, they tackle everyday challenges with humor, teamwork, and friendship, proving learning can be fun.",en,https://www.themoviedb.org/tv/286139,N/A,Everyone
Humanity: una historia de filantropía,287653,2025-03-20,0,Documentary,,es,https://www.themoviedb.org/tv/287653,N/A,Everyone
"Io, Gisèle Pelicot Tutta la verità",286928,2025-03-20,0,,,it,https://www.themoviedb.org/tv/286928,N/A,Everyone
La Vedova Nera,286925,2025-03-20,0,,,it,https://www.themoviedb.org/tv/286925,N/A,Everyone
Brands of Tomorrow,287424,2025-03-20,0,,Brands of Tomorrow,en,https://www.themoviedb.org/tv/287424,N/A,Everyone
Middlehood,287403,2025-03-20,0,,"For Lisa Giordano Navarro, midlife is messy. At 50, she crashes head-on into a moment when the years she's lived meet the years she has left - and it scares her. So she blows up her life for a chance at a do-over.",en,https://www.themoviedb.org/tv/287403,N/A,Everyone
엄카찬스,287072,2025-03-20,0,,,ko,https://www.themoviedb.org/tv/287072,N/A,Everyone
Kalla fakta: Lundinfallet - Tysta alla vittnen,286930,2025-03-20,0,,,sv,https://www.themoviedb.org/tv/286930,N/A,Everyone
Super Cube,279182,2025-03-21,9.3,"Animation, Action & Adventure, Sci-Fi & Fantasy","In an accident, an ordinary boy, Wang Xiaoxiu, obtains a space system called ""Superpower Cube"" from a high-latitude cosmic civilization and gains extraordinary powers. When the school belle, Shen Yao, Wang Xiaoxiu’s longtime crush, confesses her love to him, the delinquent Sun Jun, who also has a crush on her, is provoked. Wang Xiaoxiu resolves the crisis with his wit and extraordinary powers, but it also brings more disasters as a result. Shen Yao is taken to the world of extraordinary beings by a mysterious person, and Wang Xiaoxiu embarks on a journey to rescue her. Fighting in the bizarre universe, he finds the meaning of fairness and justice on the path to becoming a peerless powerhouse.",zh,https://www.themoviedb.org/tv/279182,N/A,Everyone
El Turco,220377,2025-03-21,7,"Action & Adventure, Drama","Balaban, a soldier in the Janissary army, settles in Moena in northern Italy after the Battle of Vienna in 1683 and fights for the rights of the local people.",tr,https://www.themoviedb.org/tv/220377,N/A,Everyone
Game of True Love,256542,2025-03-21,6,Drama,"Xu Nuo, the heiress to the Yuanfei Group, returns from studying abroad to find her family in disarray. Her mother has lost everything, and her foster brother, Shen Jiahe, is poised to take control of the family business. To make matters worse, her father's fiancée is Bai Xia, her old rival. Determined to reclaim her place and expose Shen Jiahe's true intentions, Xu Nuo devises a bold plan, setting off a high-stakes game of love and betrayal.",zh,https://www.themoviedb.org/tv/256542,N/A,Everyone
Go!,285906,2025-03-21,7,Drama,"A young runner is given a second chance at life when he is offered a track scholarship, but can he chase his dreams without tripping on his lies?",zu,https://www.themoviedb.org/tv/285906,N/A,Everyone
Con esa misma mirada,286993,2025-03-21,0,Drama,"After 25 years of marriage, Eloísa learns her husband is having an affair with a younger man and separates. Her newfound solitude leads her to self-discovery and the pursuit of new love.",es,https://www.themoviedb.org/tv/286993,N/A,Everyone
Baby Farm,248509,2025-03-21,10,,"Adanna, a pregnant woman, unsuspectingly entrusts her twin babies to a renowned NGO, only to find herself trapped in a sinister baby farm operation.",en,https://www.themoviedb.org/tv/248509,N/A,Everyone
A Decent Man,270443,2025-03-21,8.5,"Drama, Mystery","Paweł is a decent man - a devoted husband, father, and skilled heart surgeon. One hasty decision alters the course of his perfect life forever.",pl,https://www.themoviedb.org/tv/270443,N/A,Everyone
"Sweet Tooth, Good Dentist",252620,2025-03-21,0,"Comedy, Drama","Sant, a university student with an unwavering love for sweets and a dessert ASMR channel, experiences the heartbreak of his life when he discovers he has a cavity! This forces him to seek treatment from Jay, a strange, handsome dentist who puts on a cool act. Starting from a tense, oil-and-water relationship, as Sant continues treatment, he begins to wonder whether Jay's caring nature is just part of the job or if there's something more beneath the surface.",th,https://www.themoviedb.org/tv/252620,N/A,Everyone
Ride the Wind 2025,286995,2025-03-21,7,Reality,,zh,https://www.themoviedb.org/tv/286995,N/A,Everyone
Spring Burning,283049,2025-03-21,6,Drama,"Determined university student Lu Ran escapes an arranged marriage to an abusive man, only to unexpectedly meet a kind, tall, and handsome stranger—who turns out to be her intended fiancé.",zh,https://www.themoviedb.org/tv/283049,N/A,Everyone
Gangs of Milano,287012,2025-03-21,7,"Drama, Crime",,it,https://www.themoviedb.org/tv/287012,N/A,Everyone
Comic Relief: Red Nose Day 2025,287064,2025-03-21,0,"Comedy, Reality, Family","Get your red noses on. The star-studded, side-splitting night of fun and fundraising, and epic adventures as big names push themselves to the limits. Do something funny for money!",en,https://www.themoviedb.org/tv/287064,N/A,Everyone
Bennie,283347,2025-03-21,0,Comedy,"Growing up is hard enough. But what is this like growing up with Down syndrome? And what effect does this have on your family? 'Bennie', inspired by the life story of Barry Atsma, is a heart-warming series that tells the honest story of a family life that has to do with Down syndrome.",nl,https://www.themoviedb.org/tv/283347,N/A,Everyone
Kanneda,285754,2025-03-21,0,Crime,"Against the backdrop of 1990s Toronto, a Punjabi singer's journey from street performer to rising star leads him into dangerous territory.",hi,https://www.themoviedb.org/tv/285754,N/A,Everyone
Woke Up and It’s SUPER TV,286548,2025-03-21,0,"Comedy, Reality","Woke Up in Super TV', the members of Super Junior will find themselves thrown into unexpected situations, including a knock-off dating reality set, a sauna-turned-into-a-game-show, at a random member's house, and more. The members must work together to fulfill missions and ""escape"" whatever situation they find themselves in.",ko,https://www.themoviedb.org/tv/286548,N/A,Everyone
"Marzahn, mon amour",284878,2025-03-21,0,"Drama, Comedy",,de,https://www.themoviedb.org/tv/284878,N/A,Everyone
