mal_id,url,title,title_english,title_japanese,type,source,episodes,status,duration,rating,score,rank,popularity,members,favorites,synopsis,season,year,studios,genres,images.jpg.image_url,trailer.url,aired.from,aired.to,broadcast.string
58514,https://myanimelist.net/anime/58514/Kusuriya_no_Hitorigoto_2nd_Season,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,薬屋のひとりごと 第2期,TV,Light novel,24,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,8.82,31,1024,256931,2157,"Using her wit and vast knowledge of medicines and poisons alike, Maomao played a pivotal role in solving a series of mysteries and conspiracies that plagued the imperial court. Having recently come to terms with the secrets of her parents, she returns to fulfill her normal duties on behalf of the emperor's highest-ranking consorts. Maomao also works alongside the eunuch Jinshi to better the consorts' many ladies-in-waiting, including helping them learn to read.

However, with the arrival of a merchant caravan comes a new wave of intrigue. A pattern of strange coincidences involving the visitors and their wares unsettles Maomao, driving her to investigate the puzzling circumstances behind the convoy. As dangers from both outside and within threaten the balance between the imperial concubines, Maomao continues to utilize her cunning and medical expertise to keep the women safe from harm.

[Written by MAL Rewrite]",winter,2025,"OLM, TOHO animation STUDIO","Drama, Mystery",https://cdn.myanimelist.net/images/anime/1025/147458.jpg,https://www.youtube.com/watch?v=3BYutu3Pf_0,2025-01-10T00:00:00+00:00,,Fridays at 23:00 (JST)
55255,https://myanimelist.net/anime/55255/Alien_Stage,Alien Stage,Alien Stage,ALIEN STAGE (에일리언스테이지),Music,Music,,Currently Airing,3 min,R - 17+ (violence & profanity),8.79,,7783,7159,383,"Humans once lived like Earth was the center of the universe. Some people embraced religion and believed that God would deliver them from suffering. After humanity was enslaved by aliens, no one spoke of God any longer.

Now the grim truth is that humans are mere property of aliens. Recently, entering pet humans into the entertainment industry has become popular, and the biggest, most thrilling spectacle is known as Alien Stage. In this reality singing competition, alien sponsors flaunt their investments, while human contestants must battle to survive. No matter the relationship between opponents—whether it is love, hate, or something more extreme—only one victor can emerge each round.

[Written by MAL Rewrite]",,,LICO,"Drama, Sci-Fi, Suspense",https://cdn.myanimelist.net/images/anime/1524/143502.jpg,,2022-09-07T00:00:00+00:00,,
21,https://myanimelist.net/anime/21/One_Piece,One Piece,One Piece,ONE PIECE,TV,Manga,,Currently Airing,24 min,PG-13 - Teens 13 or older,8.73,51,17,2509887,236038,"Barely surviving in a barrel after passing through a terrible whirlpool at sea, carefree Monkey D. Luffy ends up aboard a ship under attack by fearsome pirates. Despite being a naive-looking teenager, he is not to be underestimated. Unmatched in battle, Luffy is a pirate himself who resolutely pursues the coveted One Piece treasure and the King of the Pirates title that comes with it.

The late King of the Pirates, Gol D. Roger, stirred up the world before his death by disclosing the whereabouts of his hoard of riches and daring everyone to obtain it. Ever since then, countless powerful pirates have sailed dangerous seas for the prized One Piece only to never return. Although Luffy lacks a crew and a proper ship, he is endowed with a superhuman ability and an unbreakable spirit that make him not only a formidable adversary but also an inspiration to many.

As he faces numerous challenges with a big smile on his face, Luffy gathers one-of-a-kind companions to join him in his ambitious endeavor, together embracing perils and wonders on their once-in-a-lifetime adventure.

[Written by MAL Rewrite]",fall,1999,Toei Animation,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1244/138851.jpg,https://www.youtube.com/watch?v=-tviZNY6CSw,1999-10-20T00:00:00+00:00,,Sundays at 23:15 (JST)
53447,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X,Tu Bian Yingxiong X,To Be Hero X,凸变英雄X,ONA,Original,24,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,8.5,144,3776,40309,260,"This is a world where heroes are created by people's trust, and the hero who has received the most trust is known as - X. In this world, people's trust can be calculated by data, and these values will be reflected on everyone's wrist. As long as enough trust points are obtained, ordinary people can also have superpowers and become superheroes that save the world. However, the ever-changing trust value makes the hero's path full of unknowns... 

(Source: Bilibili, translated)",,,"Pb Animation Co. Ltd., LAN Studio, Paper Plane Animation Studio",Action,https://cdn.myanimelist.net/images/anime/1232/148474.jpg,https://www.youtube.com/watch?v=4-e9BXNbDlc,2025-04-06T00:00:00+00:00,,
60988,https://myanimelist.net/anime/60988/Tian_Guan_Cifu_Short_Film,Tian Guan Cifu Short Film,Heaven Official's Blessing Short Film,天官賜福 短片,ONA,Web novel,,Currently Airing,8 min,PG-13 - Teens 13 or older,8.49,151,8759,5383,46,"A short film celebrating the fourth anniversary of the donghua's releases, highlighting Hua Cheng's and Xie Lian's first encounter.",,,,"Action, Adventure, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/1182/147971.jpg,,2025-02-12T00:00:00+00:00,,
60988,https://myanimelist.net/anime/60988/Tian_Guan_Cifu_Short_Film,Tian Guan Cifu Short Film,Heaven Official's Blessing Short Film,天官賜福 短片,ONA,Web novel,,Currently Airing,8 min,PG-13 - Teens 13 or older,8.49,151,8759,5383,46,"A short film celebrating the fourth anniversary of the donghua's releases, highlighting Hua Cheng's and Xie Lian's first encounter.",,,,"Action, Adventure, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/1182/147971.jpg,,2025-02-12T00:00:00+00:00,,
51039,https://myanimelist.net/anime/51039/Doupo_Cangqiong__Nian_Fan,Doupo Cangqiong: Nian Fan,,斗破苍穹年番,ONA,Novel,157,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,8.45,172,6887,9764,326,Fifth season of Doupo Cangqiong.,,,Motion Magic,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1419/126374.jpg,,2022-07-31T00:00:00+00:00,,
56524,https://myanimelist.net/anime/56524/Tunshi_Xingkong_4th_Season,Tunshi Xingkong 4th Season,Swallowed Star 4th Season,吞噬星空 第四季,ONA,Novel,123,Currently Airing,21 min per ep,PG-13 - Teens 13 or older,8.37,224,9686,3994,108,Fourth season of Tunshi Xingkong.,,,Sparkly Key Animation Studio,"Action, Adventure, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1212/138218.jpg,,2023-10-03T00:00:00+00:00,,
55809,https://myanimelist.net/anime/55809/Xian_Ni,Xian Ni,Renegade Immortal,仙逆,ONA,Novel,128,Currently Airing,25 min per ep,PG-13 - Teens 13 or older,8.34,251,8356,5994,148,"Wang Lin is a very smart boy with loving parents. Although he and his parents are shunned by the rest of their relatives, his parents have always held high hopes that he will one day achieve greatness. One day, Wang Lin suddenly gained the chance to walk the path of an immortal but found that he only had mediocre talent at best. Watch Wang Lin as he breaks through his lack of talent and walks the path towards becoming a real immortal!

(Source: Xian Ni Wiki)",,,BUILD DREAM,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1542/136768.jpg,,2023-09-25T00:00:00+00:00,,
52684,https://myanimelist.net/anime/52684/Shen_Yin_Wangzuo_2nd_Season,Shen Yin Wangzuo 2nd Season,Throne of Seal 2nd Season,神印王座 第二季,ONA,Web novel,,Currently Airing,20 min,PG-13 - Teens 13 or older,8.23,360,8406,5935,131,"Revealing himself to be a Dual Knight, Long Hao Chen triumphs in his match within his temple and advances to the finals. But before the grand finals can begin, ranking matches are conducted in each temple to determine the strongest within. During the rankings, Hao Chen is injured, enraging Sheng Cai'er and driving her to seek vengeance for what happened to him. Her actions cause a fight between the Knight Temple and Assassin Temple, only to be subdued after a shocking revelation—that Sheng Cai'er is a Reincarnated Saint.

The finals for the Demon Hunting Team Competition begin with the division of the sixty remaining participants into six groups. The top sixteen participants are then further pitted against each other to determine the top three. Each of the top three will be rewarded with a spiritual stove and the right to pick their teammates.

In order to become a knight that is capable of defeating the Demon Lord, Long Hao Chen must strive to be first in this competition so he can select the best teammates to give him a fighting chance.

[Written by MAL Rewrite]",,,Shenman Entertainment,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1279/126735.jpg,,2022-11-10T00:00:00+00:00,,
