mal_id,url,title,title_english,title_japanese,type,source,episodes,status,duration,rating,score,rank,popularity,members,favorites,synopsis,season,year,studios,genres,images.jpg.image_url,trailer.url,aired.from,aired.to,broadcast.string
48708,https://myanimelist.net/anime/48708/Suisou_no_Tora,Suisou no Tora,Fudge Factor,水槽の虎,Movie,Original,1,Not yet aired,Unknown,,,,13220,1360,0,"Something/someone is there. This fact seeks a cornerstone of the reality of a personal experience. For this reason each individual's reality has a disparity that seems like it has been pre-programmed.

(Source: Shinomiya Yoshitoshi's personal website)

A tiger is jumping around in a dark basin of water, seemingly trying to catch a bird, of which there are many.",,,,,https://cdn.myanimelist.net/images/anime/1568/114295.jpg,https://www.youtube.com/watch?v=WAaqYiM__WU,,,
50235,https://myanimelist.net/anime/50235/Long_Wu,Long Wu,Long Wu,龙屋,ONA,Picture book,1,Not yet aired,Unknown,,,,18799,371,0,,,,,Fantasy,https://cdn.myanimelist.net/images/anime/1155/119012.jpg,https://www.youtube.com/watch?v=xkdqK9pPxu0,,,
40242,https://myanimelist.net/anime/40242/Idomo,Idomo,,イドも,ONA,Original,1,Not yet aired,Unknown,,,,14594,941,0,"The story starts in a mysterious place in the future where ""boys and girls meet.""

(Source: ANN)",,,Twin Engine,"Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1059/102541.jpg,https://www.youtube.com/watch?v=jeV-SxGKhzA,,,
48536,https://myanimelist.net/anime/48536/Fei_Ba_Lanqiu,Fei Ba! Lanqiu,Alley-Oop,飞吧！篮球,ONA,Original,,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,13325,1322,5,,,,Reiki Eyes Animation,"Comedy, Sports",https://cdn.myanimelist.net/images/anime/1244/130870.jpg,,,,
41919,https://myanimelist.net/anime/41919/Mo_Du_Zhe,Mo Du Zhe,,默读者,ONA,Novel,,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,8320,6081,22,"Childhood, upbringing, family background, social relations, traumatic experiences...

We keep reviewing and seeking out the motives of criminals, exploring the subtlest emotions driving them. It’s not to put ourselves in their shoes and sympathize, or even forgive them; it’s not to find some reasons to exculpate their crimes; it’s not to kneel down before the so-called ""complexity of human nature""; nor to introspect social conflicts, much less to alienate ourselves into monsters.

We just want to have a fair trial – for ourselves and for those who still have hope for the world.

(Source: NovelUpdates)",,,,"Drama, Mystery",https://cdn.myanimelist.net/images/anime/1688/108804.jpg,https://www.youtube.com/watch?v=589wkY0Uj4E,,,
35853,https://myanimelist.net/anime/35853/Zero_Seiki_Movie_1__Emeraldas,Zero Seiki Movie 1: Emeraldas,,零世紀 エメラルダス,Movie,Manga,1,Not yet aired,Unknown,,,,10488,3122,0,An anime movie that was announced at Japan Expo and was supposed to be screened in 2020 before production was delayed.,,,Production GoodBook,"Action, Adventure, Sci-Fi",https://cdn.myanimelist.net/images/anime/11/86764.jpg,,,,
49125,https://myanimelist.net/anime/49125/Cubistar,Cubistar,,큐비스타,ONA,Original,26,Not yet aired,11 min per ep,,,,13384,1299,3,"Davi and her new friends become Cubistars. Magical guardians bestowed with powers of the stars to maintain the balance between good and evil.

(Source: iABC)",,,,"Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1595/115563.jpg,,,,
50139,https://myanimelist.net/anime/50139/Disney__Twisted-Wonderland_The_Animation_-_Episode_of_Heartslabyul,Disney: Twisted-Wonderland The Animation - Episode of Heartslabyul,,ディズニー ツイステッドワンダーランド ザ アニメーション エピソード オブ ハーツラビュル,ONA,Manga,,Not yet aired,Unknown,,,,6544,10989,89,"Yuuken ""Yuu"" Enma is an average Japanese high school student preparing for an upcoming kendo tournament. On the night before the competition, however, a black carriage crashes into him. When he regains consciousness, Yuu finds himself at Night Raven College—a premier academic institution in the magical world of Twisted Wonderland. Only a chosen few with exceptional magical talent are admitted into the school, so it is a mystery how a human with no magic ability ended up here.

Although Yuu desires to return home, it is easier said than done. While the school's headmaster searches for a way to send him back, Yuu is assigned manual labor around the campus. But due to the chaos at the school's entrance ceremony following his arrival, Yuu has a target painted on his back as far as Heartslabyul dorm leader Riddle Rosehearts is concerned.

Yuu meets and befriends Heartslabyul freshmen Ace Trappola and Deuce Spade; yet soon after, Ace and Deuce land in a situation that results in their expulsion. As the pair seek to redeem themselves, Yuu accompanies them on their perilous mission to fix school property. However, forgiveness does not come easily from the ""Crimson Tyrant"" in charge of Heartslabyul, who may have an ulterior motive behind his strictness.

[Written by MAL Rewrite]",,,"Yumeta Company, Graphinica",Fantasy,https://cdn.myanimelist.net/images/anime/1420/148466.jpg,https://www.youtube.com/watch?v=bb8BmHtbaC0,2025-10-01T00:00:00+00:00,,
48832,https://myanimelist.net/anime/48832/Cherry_and_Virgin,Cherry and Virgin,,CHERRY AND VIRGIN,Movie,Original,1,Not yet aired,Unknown,,,,7406,8125,7,"Cherry and Virgin is a romantic comedy featuring a 32-year-old ""eromanga"" author Ryou and a 28-year-old ""fujoshi'' Ami. Neither character is great at interacting with members of the opposite gender—Ryou is somewhat of an otaku and defenseless against women, and Ami does not have a good impression of 3D men. After a fateful encounter, the story follows the two as they learn to navigate a sea of interpersonal relationships and come to better understand the bitter and sweet aspects of modern relationships.

(Source: MAL News)",,,,Romance,https://cdn.myanimelist.net/images/anime/1155/114618.jpg,https://www.youtube.com/watch?v=PXdyKkieduY,,,
49984,https://myanimelist.net/anime/49984/Wu_Tian_Yu_Shang_2035,Wu Tian Yu Shang 2035,,无天于上2035,ONA,Manga,,Not yet aired,Unknown,,,,18486,396,0,"In the year 2035, the terrible aftermath caused by the alien invasion five years ago is still lingering. The active genes of the alien creature ""X"" were spread around the world due to the explosion, and the breeding alien creatures are lurking everywhere on Earth.

(Source: bilibili, translated)",,,ASK Animation Studio,"Action, Sci-Fi",https://cdn.myanimelist.net/images/anime/1574/118427.jpg,https://www.youtube.com/watch?v=rY_8UkFu53s,,,
